RUN	SmokeTest.CrearCredito	crearcredito	1570467339395	 	3.0.2
USER	SmokeTest	37	END	1570467431669	1570467437523
USER	SmokeTest	41	START	1570467437525	1570467437525
REQUEST	41		SmokeTest	1570467437526	1570467445681	OK	 
REQUEST	40		SmokeTest	1570467437518	1570467448874	OK	 
REQUEST	39		SmokeTest	1570467437428	1570467448890	OK	 
REQUEST	40		SmokeTest	1570467448877	1570467457851	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	40	END	1570467437517	1570467457854
USER	SmokeTest	42	START	1570467457854	1570467457854
REQUEST	39		SmokeTest	1570467448892	1570467457972	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	39	END	1570467437427	1570467457974
USER	SmokeTest	43	START	1570467457974	1570467457974
