RUN	SmokeTest.getCreditDetails	getcreditdetails	1570467023496	 	3.0.2
USER	SmokeTest	50	START	1570467060386	1570467060386
REQUEST	48		SmokeTest	1570467059079	1570467061587	OK	 
USER	SmokeTest	48	END	1570467059077	1570467061589
USER	SmokeTest	51	START	1570467061590	1570467061590
REQUEST	49		SmokeTest	1570467059611	1570467062072	OK	 
USER	SmokeTest	49	END	1570467059609	1570467062073
USER	SmokeTest	52	START	1570467062073	1570467062073
REQUEST	52		SmokeTest	1570467062075	1570467064482	OK	 
USER	SmokeTest	52	END	1570467062073	1570467064483
USER	SmokeTest	53	START	1570467064484	1570467064484
REQUEST	51		SmokeTest	1570467061591	1570467064697	OK	 
USER	SmokeTest	51	END	1570467061590	1570467064699
USER	SmokeTest	54	START	1570467064699	1570467064699
REQUEST	50		SmokeTest	1570467060387	1570467064913	OK	 
USER	SmokeTest	50	END	1570467060386	1570467064915
USER	SmokeTest	55	START	1570467064915	1570467064915
REQUEST	53		SmokeTest	1570467064485	1570467066000	OK	 
USER	SmokeTest	53	END	1570467064484	1570467066002
USER	SmokeTest	56	START	1570467066002	1570467066002
REQUEST	55		SmokeTest	1570467064916	1570467067381	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	55	END	1570467064915	1570467067383
USER	SmokeTest	57	START	1570467067383	1570467067383
REQUEST	54		SmokeTest	1570467064701	1570467067406	OK	 
USER	SmokeTest	54	END	1570467064699	1570467067408
USER	SmokeTest	58	START	1570467067409	1570467067409
REQUEST	56		SmokeTest	1570467066003	1570467068004	OK	 
USER	SmokeTest	56	END	1570467066002	1570467068006
USER	SmokeTest	59	START	1570467068006	1570467068006
REQUEST	57		SmokeTest	1570467067385	1570467070085	OK	 
USER	SmokeTest	57	END	1570467067383	1570467070088
USER	SmokeTest	60	START	1570467070088	1570467070088
REQUEST	58		SmokeTest	1570467067410	1570467070585	OK	 
USER	SmokeTest	58	END	1570467067409	1570467070587
USER	SmokeTest	61	START	1570467070587	1570467070587
REQUEST	59		SmokeTest	1570467068007	1570467070841	OK	 
USER	SmokeTest	59	END	1570467068006	1570467070843
USER	SmokeTest	62	START	1570467070843	1570467070843
REQUEST	60		SmokeTest	1570467070090	1570467071575	OK	 
USER	SmokeTest	60	END	1570467070088	1570467071577
USER	SmokeTest	63	START	1570467071578	1570467071578
REQUEST	63		SmokeTest	1570467071580	1570467076080	OK	 
USER	SmokeTest	63	END	1570467071578	1570467076082
USER	SmokeTest	64	START	1570467076082	1570467076082
REQUEST	62		SmokeTest	1570467070844	1570467076183	OK	 
USER	SmokeTest	62	END	1570467070843	1570467076185
USER	SmokeTest	65	START	1570467076185	1570467076185
REQUEST	61		SmokeTest	1570467070588	1570467076194	OK	 
USER	SmokeTest	61	END	1570467070587	1570467076196
USER	SmokeTest	66	START	1570467076196	1570467076196
