RUN	SmokeTest.payCredit	paycredit	1570478456284	 	3.0.2
REQUEST	262		SmokeTest	1570478576316	1570478577406	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	262	END	1570478576315	1570478577407
USER	SmokeTest	265	START	1570478577408	1570478577408
REQUEST	263		SmokeTest	1570478576952	1570478577983	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	263	END	1570478576952	1570478577984
USER	SmokeTest	266	START	1570478577984	1570478577984
REQUEST	264		SmokeTest	1570478577248	1570478578456	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	264	END	1570478577248	1570478578457
USER	SmokeTest	267	START	1570478578457	1570478578457
REQUEST	265		SmokeTest	1570478577408	1570478578537	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 400
USER	SmokeTest	265	END	1570478577408	1570478578538
USER	SmokeTest	268	START	1570478578538	1570478578538
